#Nodes with GAIN events with expectation above 0.5
Leiolep: 0.801653
Furcep: 1.93135
N57: 1.87452
N63: 1.06039
N64: 1.96293
N75: 1.02874
C3125: 1.41158
N93: 1.40748
C2208: 0.985551
Riebrev: 2.57786
Total number of gain events: 23.1358
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Leiolep: 2.54821
N2: 2.00711
Rhaspe: 1.72861
Rhamar: 1.66018
Rhatem: 0.786096
N34: 1.1048
N38: 1.01194
N43: 0.966092
N46: 0.7699
FGA465: 0.961811
N59: 0.72472
N61: 0.710109
FGA489: 1.00456
N70: 0.618691
N74: 0.97667
Calboe: 2.45577
N79: 1.61123
N80: 1.34721
N81: 1.45783
N86: 0.972664
N89: 1.55378
C404: 1.01534
N97: 1.00837
N107: 0.965344
N129: 1.14227
Total number of loss events: 39.5438
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 5.86911e-20
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Leiolep: 0.917355
N3: 0.552802
N34: 0.996516
N65: 0.671416
N113: 0.958778
N117: 0.968599
N119: 0.621722
Riebrev: 1.94027
N129: 0.948528
Total number of demi-dulications events: 11.3232
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N67	0.0331931	0.369251	7.45849e-38	0.0761363	0
N68	0.442936	0.0821285	1.76765e-52	0.00161483	0
CGA312	0.000224591	0.000207951	0	4.31377e-08	0
CGA963	0.000224591	0.000207951	0	4.31377e-08	0
N69	0.00159108	0.23136	1.90969e-41	0.00133119	0
N70	0.000130748	0.618691	7.40136e-48	8.21453e-05	0
N71	0.0087639	0.00380807	1.32079e-48	3.42703e-06	0
N72	0.199773	0.0258254	2.26151e-47	3.23384e-06	0
CGA642	0.0537129	0.0211933	0	2.92265e-08	0
N73	0.00968262	0.00576807	6.2646e-47	1.32937e-08	0
N74	0.00527692	0.97667	1.25387e-56	1.58088e-08	0
CGA763	6.27763e-09	2.07124e-06	0	7.81473e-15	0
CGA764	6.27763e-09	2.07124e-06	0	7.81473e-15	0
N75	1.02874	0.000141525	4.11629e-57	1.79988e-08	0
C601	1.76899e-06	1.10885e-08	0	3.60874e-12	0
C602	1.76899e-06	1.10885e-08	0	3.60874e-12	0
N76	0.00204452	0.0186588	3.51516e-44	3.08129e-07	0
CGA236	0.278537	0.0554596	0	3.76565e-06	0
N77	0.00164757	0.186777	4.39017e-38	1.0991e-07	0
N78	0.0460077	0.120871	1.01493e-34	5.1014e-08	0
Calboe	0.0029026	2.45577	0	3.80943e-08	0
C3125	1.41158	0.0364381	0	0.0180456	0
N79	0.0196926	1.61123	1.81287e-53	1.05713e-06	0
CGA429	0	0	0	0	0
CGA430	0	0	0	0	0
N80	0.000666626	1.34721	1.30857e-45	6.3389e-07	0
N81	0.0245336	1.45783	5.41753e-56	3.82924e-07	0
C985	0	0	0	0	0
C984	0	0	0	0	0
N82	0.00133559	0.160919	1.71718e-36	2.38217e-07	0
N83	0.0485534	0.322061	1.32268e-40	1.72359e-07	0
CGA310	0.00012415	0.000312039	0	2.99964e-10	0
CGA314	0.00012415	0.000312039	0	2.99964e-10	0
N84	0.0101138	0.319098	4.89645e-37	1.53595e-07	0
N85	0.0800555	0.0447711	2.05827e-50	1.1915e-08	0
CGA382	0.000124782	0.000121118	0	1.42673e-10	0
CGA365	0.000124782	0.000121118	0	1.42673e-10	0
N86	0.00795605	0.972664	6.33562e-57	9.19924e-09	0
CGA494	2.41799e-08	3.52934e-06	0	7.32005e-15	0
CGA495	2.41799e-08	3.52934e-06	0	7.32005e-15	0
N87	0.226904	0.0225126	3.80293e-45	0.000150174	0
N88	0.00283421	0.0529154	6.93983e-43	1.52666e-06	0
C12265	0.454243	0.0173789	0	2.59201e-06	0
N89	0.00114985	1.55378	1.96091e-44	1.96027e-06	0
C404	0.00485676	1.01534	0	1.07139e-08	0
N90	0.00333858	0.0107059	2.87613e-52	1.00178e-08	0
N91	0.00572091	0.00883708	4.33517e-61	6.06805e-10	0
Cl11778	1.19694e-07	2.84048e-07	0	7.29752e-15	0
Cl11779	1.19694e-07	2.84048e-07	0	7.29752e-15	0
N92	0.00315971	0.00621012	1.28451e-52	6.04836e-10	0
CGA594	0.000671181	0.000737106	0	1.84107e-12	0
CGA48	0.000671181	0.000737106	0	1.84107e-12	0
N93	1.40748	0.0208176	4.11779e-56	2.00864e-05	0
C3134	5.33435e-06	7.685e-08	0	8.18406e-10	0
C3126	5.33435e-06	7.685e-08	0	8.18406e-10	0
N94	0.123636	0.0760001	3.0698e-40	0.0772862	0
CGA311	0.0506215	0.0750883	0	0.000434034	0
N95	0.0060868	0.00154218	1.04058e-40	0.000346548	0
N96	0.00338626	0.0397853	1.45671e-44	8.43127e-05	0
N97	0.0157575	1.00837	1.99884e-60	1.62418e-06	0
CGA45	2.26738e-08	2.80092e-06	0	0	0
CGA46	2.26738e-08	2.80092e-06	0	0	0
N98	0.00749855	0.00178157	1.7876e-48	1.39897e-06	0
N99	0.00586868	0.00416905	7.06089e-46	2.19823e-07	0
N100	0.00326195	0.00329077	1.67911e-61	4.44796e-09	0
C3043	0.000217274	0.000222926	0	6.06369e-12	0
CGA87	0.000217274	0.000222926	0	6.06369e-12	0
N101	0.00312719	0.00315416	7.15676e-61	4.44534e-09	0
CGA368	0.000221904	0.000229403	0	8.68926e-12	0
CGA557	0.000221904	0.000229403	0	8.68926e-12	0
CGA364	0.0211656	0.0195005	0	2.24277e-07	0
C2208	0.985551	0.0145705	0	8.59646e-05	0
N102	0.145835	0.143181	3.87752e-37	0.3239	0
N103	0.0092877	0.0154693	7.22439e-40	0.00383758	0
N104	0.0153616	0.00839189	8.40546e-57	6.70596e-05	0
CGA453	0.000206336	0.000205818	0	7.65531e-09	0
CGA383	0.000206336	0.000205818	0	7.65531e-09	0
N105	0.001792	0.0311052	3.16138e-46	6.5136e-05	0
N106	0.0395154	0.00323225	1.19419e-59	1.93041e-06	0
CGA501	2.78048e-07	4.07079e-08	0	6.3004e-12	0
C11776	2.78048e-07	4.07079e-08	0	6.3004e-12	0
N107	0.00163581	0.965344	3.95214e-59	1.93027e-06	0
C3121	1.11106e-08	8.07462e-06	0	0	0
C3123	1.11106e-08	8.07462e-06	0	0	0
N108	0.0290357	0.0281995	8.67773e-41	0.00389819	0
Calparcri	0.000949443	0.00099717	0	6.48408e-06	0
C3118	0.000949443	0.00099717	0	6.48408e-06	0
N109	0.0023101	0.000324468	1.54421e-43	1.24405e-08	0
N110	0.0220144	0.0214077	1.55787e-39	0.000131447	0
N111	0.0289187	0.0298012	4.99834e-36	8.66709e-06	0
N112	0.0116373	0.0120881	1.43891e-34	5.3525e-07	0
N113	0.0163375	0.0163995	8.56546e-37	0.958778	0
Triowe	0.060308	0.0617725	0	0.0410818	0
N114	0.00410345	0.00391491	4.56424e-38	0.0285384	0
Trijoh	0.0439421	0.0455951	0	0.0125434	0
Trimel	0.0439421	0.0455951	0	0.0125434	0
N115	0.0441512	0.0446404	1.34357e-35	1.73123e-06	0
N116	0.00376395	0.00419795	2.87292e-35	2.2063e-07	0
Trihoe	0.0185709	0.0193088	0	3.97548e-08	0
Tribit	0.0185709	0.0193088	0	3.97548e-08	0
Trijac	0.0296751	0.0308535	0	1.87239e-06	0
N117	0.0371151	0.037043	5.13415e-35	0.968599	0
Tricri	0.0574965	0.0597101	0	0.0312613	0
N118	0.007586	0.00797625	9.07451e-37	0.0264456	0
Triwie	0.0317823	0.0336063	0	0.00481555	0
Triqua	0.0317823	0.0336063	0	0.00481555	0
N119	0.0187013	0.0152495	2.72211e-33	0.621722	0
N120	0.0873839	0.0881997	3.42673e-32	0.35225	0
Kinboe	0.0601183	0.0666827	0	0.0258873	0
Kinfis	0.0601183	0.0666827	0	0.0258873	0
Kinxen	0.220351	0.229027	0	0.378121	0
N121	0.00979555	0.00155576	2.81045e-39	4.26806e-07	0
N122	0.0601336	0.0575189	1.82016e-34	2.78994e-06	0
N123	0.0714015	0.0820903	5.55496e-30	2.9328e-05	0
N124	0.0138638	0.0160241	6.53359e-36	8.20542e-07	0
N125	0.00272793	0.00269972	1.21124e-37	1.48978e-08	0
Chaafr	0.0210015	0.0214511	0	6.27932e-09	0
Chacha	0.0210015	0.0214511	0	6.27932e-09	0
N126	0.00506952	0.00508006	2.61239e-38	1.60475e-08	0
Chacaly	0.0153914	0.0158023	0	7.69345e-09	0
Chazey	0.0153914	0.0158023	0	7.69345e-09	0
N127	0.00512064	0.00508786	4.36707e-32	5.31849e-07	0
Chadil	0.0518806	0.0545049	0	2.74644e-06	0
Chasen	0.0518806	0.0545049	0	2.74644e-06	0
Chanam	0.246729	0.262733	0	0.000704489	0
N128	0.0121724	0.00303249	3.73178e-34	0.0491306	0
Riebrev	2.57786	0.194298	0	1.94027	0
N129	0.174605	1.14227	1.46963e-32	0.948528	0
N130	0.00190883	0.0095148	2.68901e-46	0.000551895	0
N131	0.000169582	0.000369268	2.5261e-52	2.18814e-06	0
Braset	0.0134101	0.0135475	0	1.69963e-07	0
N132	0.000683108	0.000750764	2.08688e-48	1.64507e-07	0
N133	0.00549601	0.00554975	5.99013e-53	5.45029e-09	0
Bramel	0.000241293	0.000257306	0	6.41626e-12	0
Bratha	0.000241293	0.000257306	0	6.41626e-12	0
N134	0.00315286	0.00317015	1.20271e-49	5.41154e-09	0
Bradra	0.00221564	0.0022681	0	4.51637e-11	0
Bratra	0.00221564	0.0022681	0	4.51637e-11	0
N135	0.00643095	0.00667275	2.99843e-52	2.34601e-06	0
Bragut	0.00274352	0.00283875	0	1.364e-08	0
Braven	0.00274352	0.00283875	0	1.364e-08	0
N136	0.0066088	0.0132816	6.43941e-41	0.000541885	0
Brapum	0.00841891	0.0096762	0	1.23721e-05	0
Bradam	0.00841891	0.0096762	0	1.23721e-05	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
Leiolep	0.801653	2.54821	0	0.917355	0
B3088	0.38308	2.38567	5.86911e-20	0.999917	0
BGA709	0.35886	2.36144	5.86911e-20	0.999917	0
BGA710	0.35886	2.36144	5.86911e-20	0.999917	0
BGA309	0.359543	2.36212	5.86911e-20	0.999917	0
B11696	0.270868	2.27344	5.86911e-20	0.999917	0
B11697	0.270868	2.27344	5.86911e-20	0.999917	0
B11609	0.263159	2.26573	5.86911e-20	0.999917	0
BGA392	0.263159	2.26573	5.86911e-20	0.999917	0
B985	0.26098	2.26355	5.86911e-20	0.999917	0
B983	0.26098	2.26355	5.86911e-20	0.999917	0
B199	0.234317	2.23689	5.86911e-20	0.999917	0
BGAA3	0.234317	2.23689	5.86911e-20	0.999917	0
B11604	0.234315	2.23689	5.86911e-20	0.999917	0
BGA583	0.234315	2.23689	5.86911e-20	0.999917	0
BGA89	0.245471	2.24805	5.86911e-20	0.999917	0
BGA40	0.245471	2.24805	5.86911e-20	0.999917	0
BGAA2	0.235036	2.23761	5.86911e-20	0.999917	0
BGAA1	0.235036	2.23761	5.86911e-20	0.999917	0
BGA584	0.231437	2.23401	5.86911e-20	0.999917	0
BGA706	0.231437	2.23401	5.86911e-20	0.999917	0
BGA304	0.252779	2.25535	5.86911e-20	0.999917	0
BGA303	0.252779	2.25535	5.86911e-20	0.999917	0
BGAB1	0.254729	2.2573	5.86911e-20	0.999917	0
BGA7	0.254729	2.2573	5.86911e-20	0.999917	0
PGA445	0.512411	2.52548	5.86911e-20	1.00098	0
PGA363	0.512411	2.52548	5.86911e-20	1.00098	0
Rhaspe	0.282255	4.28784	5.86911e-20	0.00152769	0
Rhamar	0.278534	4.28289	5.86911e-20	0.00123394	0
Rhatem	0.402812	3.4088	5.86911e-20	0.00147276	0
FGA379	0.33433	3.2675	5.86911e-20	0.996558	0
F647	0.33433	3.2675	5.86911e-20	0.996558	0
F3016	0.265026	3.26523	5.86911e-20	4.52286e-05	0
F3015	0.265026	3.26523	5.86911e-20	4.52286e-05	0
F1476	0.268641	3.26884	5.86911e-20	4.52606e-05	0
FGA81	0.268641	3.26884	5.86911e-20	4.52606e-05	0
Furcep	2.17431	2.43606	5.86911e-20	0.0523531	0
Furpol	0.38345	2.38407	5.86911e-20	0.000147156	0
F2241	0.254742	3.25495	5.86911e-20	4.52746e-05	0
F12266	0.254742	3.25495	5.86911e-20	4.52746e-05	0
Furang	0.255144	3.25535	5.86911e-20	4.52746e-05	0
Fga490	0.263217	3.26343	5.86911e-20	4.52742e-05	0
FGA456	0.327477	2.32768	5.86911e-20	4.52974e-05	0
FGA516	0.327448	2.32765	5.86911e-20	4.52975e-05	0
FGA513	0.327448	2.32765	5.86911e-20	4.52975e-05	0
F12278	0.33536	2.33556	5.86911e-20	4.52959e-05	0
F12279	0.33536	2.33556	5.86911e-20	4.52959e-05	0
Furant	0.45177	2.45202	5.86911e-20	5.53288e-05	0
FGA331	2.31693	2.31908	5.86911e-20	0.000433804	0
FGA332	2.31693	2.31908	5.86911e-20	0.000433804	0
FGA465	0.275193	3.27539	5.86911e-20	4.52649e-05	0
FGA99	0.261178	3.26138	5.86911e-20	4.52628e-05	0
F12269	0.261178	3.26138	5.86911e-20	4.52628e-05	0
FGA15	0.267656	3.26786	5.86911e-20	4.52734e-05	0
FGA440	0.267656	3.26786	5.86911e-20	4.52734e-05	0
FGA581	0.566443	2.56665	5.86911e-20	4.7527e-05	0
FGA582	0.566443	2.56665	5.86911e-20	4.7527e-05	0
FGA104	1.29245	2.30462	5.86911e-20	0.0028063	0
FGA105	1.29245	2.30462	5.86911e-20	0.0028063	0
FGA489	0.263952	3.26415	5.86911e-20	4.52121e-05	0
FGA174	2.17703	2.30782	5.86911e-20	0.025985	0
FGA175	2.17703	2.30782	5.86911e-20	0.025985	0
FurbGB	0.349502	2.3518	5.86911e-20	0.000566402	0
CGA312	0.615808	2.61498	5.86911e-20	0.999236	0
CGA963	0.615808	2.61498	5.86911e-20	0.999236	0
CGA642	0.436619	3.43352	5.86911e-20	0.999041	0
CGA763	0.397866	4.39477	5.86911e-20	0.999041	0
CGA764	0.397866	4.39477	5.86911e-20	0.999041	0
C601	1.42134	3.41824	5.86911e-20	0.999041	0
C602	1.42134	3.41824	5.86911e-20	0.999041	0
CGA236	0.463714	3.46062	5.86911e-20	0.999042	0
Calboe	0.235736	6.16859	5.86911e-20	0.999038	0
C3125	1.64441	3.74925	5.86911e-20	1.01708	0
