haploidn,tips,sim
17,Kinboe,8
17,Kinfis,8
16,Kinxen,8
16,Bratra,8
16,Bradra,8
15,Bratha,8
15,Bramel,8
15,Braset,8
16,Braven,8
16,Bragut,8
16,Brapum,8
16,Bradam,8
16,Chazey,8
15,Chacaly,8
16,Chaafr,8
16,Chacha,8
16,Chadil,8
17,Chasen,8
17,Chanam,8
18,Rhamar,8
17,Rhatem,8
18,Rhaspe,8
16,BGA584,9
15,BGAA1,9
15,B11604,9
16,B983,9
15,BGA303,9
16,BGAB1,9
15,B11609,9
14,B11696,9
15,B3088,9
17,BGA709,9
16,BGA309,9
16,PGA445,9
17,CGA763,9
17,C601,9
17,CGA642,9
17,CGA429,9
16,C3125,9
15,Calboe,9
17,CGA236,9
16,CGA365,9
17,CGA494,9
17,CGA310,9
16,C984,9
16,CGA48,9
15,Cl11778,9
16,C404,9
16,C12265,9
17,C3126,9
16,CGA312,9
14,C3043,9
14,CGA364,9
14,CGA45,9
14,C2208,9
14,CGA311,9
14,CGA501,9
14,C3121,9
14,CGA453,9
14,C3118,9
14,Calparcri,9
13,FGA513,9
15,FGA456,9
15,FGA465,9
14,F12278,9
14,FGA331,9
13,Furant,9
15,FGA581,9
15,FGA15,9
15,FGA99,9
15,F2241,9
14,Furang,9
15,FGA490,9
14,Furpol,9
14,Furcep,9
15,F1476,9
13,FGA104,9
16,FGA489,9
15,F3015,9
17,FGA174,9
14,FurbGB,9
15,FGA379,9
12,Tribit,9
13,Trihoe,9
13,Trijac,9
14,Trijoh,9
14,Trimel,9
13,Triowe,9
16,Tricri,9
16,Triwie,9
16,Triqua,9
17,Kinboe,9
18,Kinfis,9
15,Kinxen,9
13,Bratra,9
13,Bradra,9
12,Bratha,9
12,Bramel,9
13,Braset,9
13,Braven,9
13,Bragut,9
13,Brapum,9
13,Bradam,9
16,Chazey,9
15,Chacaly,9
17,Chaafr,9
17,Chacha,9
17,Chadil,9
16,Chasen,9
14,Chanam,9
16,Rhamar,9
16,Rhatem,9
13,Rhaspe,9
20,BGA584,10
20,BGAA1,10
19,B11604,10
21,B983,10
19,BGA303,10
19,BGAB1,10
19,B11609,10
19,B11696,10
18,B3088,10
19,BGA709,10
17,BGA309,10
20,PGA445,10
15,CGA763,10
14,C601,10
14,CGA642,10
12,CGA429,10
13,C3125,10
15,Calboe,10
12,CGA236,10
13,CGA365,10
13,CGA494,10
16,CGA310,10
13,C984,10
14,CGA48,10
14,Cl11778,10
14,C404,10
12,C12265,10
14,C3126,10
16,CGA312,10
12,C3043,10
12,CGA364,10
11,CGA45,10
12,C2208,10
10,CGA311,10
12,CGA501,10
13,C3121,10
13,CGA453,10
13,C3118,10
13,Calparcri,10
15,FGA513,10
14,FGA456,10
14,FGA465,10
15,F12278,10
14,FGA331,10
14,Furant,10
14,FGA581,10
14,FGA15,10
14,FGA99,10
14,F2241,10
14,Furang,10
13,FGA490,10
15,Furpol,10
12,Furcep,10
14,F1476,10
13,FGA104,10
13,FGA489,10
15,F3015,10
12,FGA174,10
13,FurbGB,10
14,FGA379,10
15,Tribit,10
15,Trihoe,10
15,Trijac,10
13,Trijoh,10
13,Trimel,10
14,Triowe,10
15,Tricri,10
15,Triwie,10
15,Triqua,10
14,Kinboe,10
16,Kinfis,10
15,Kinxen,10
15,Bratra,10
15,Bradra,10
15,Bratha,10
15,Bramel,10
16,Braset,10
14,Braven,10
15,Bragut,10
15,Brapum,10
15,Bradam,10
15,Chazey,10
15,Chacaly,10
15,Chaafr,10
15,Chacha,10
16,Chadil,10
15,Chasen,10
15,Chanam,10
15,Rhamar,10
15,Rhatem,10
16,Rhaspe,10
15,BGA584,11
15,BGAA1,11
16,B11604,11
16,B983,11
16,BGA303,11
16,BGAB1,11
17,B11609,11
17,B11696,11
16,B3088,11
16,BGA709,11
16,BGA309,11
16,PGA445,11
19,CGA763,11
19,C601,11
19,CGA642,11
20,CGA429,11
19,C3125,11
19,Calboe,11
17,CGA236,11
17,CGA365,11
19,CGA494,11
18,CGA310,11
19,C984,11
18,CGA48,11
19,Cl11778,11
19,C404,11
19,C12265,11
19,C3126,11
20,CGA312,11
17,C3043,11
16,CGA364,11
17,CGA45,11
16,C2208,11
16,CGA311,11
17,CGA501,11
16,C3121,11
17,CGA453,11
