tips,genus,species,Binomial,chromon,armn,macrop,microp,norpos,norpair,its,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref,haploidn,Binomial_Marcello,Realm,Latitude,Longitude,maxSVL,Substrate,Repromode,minClutchSize,maxClutchSize,minBreedingAge,maxBreedingAge
C3118,Calumma,calumma_parsonii,Calumma parsonii,36,48,6,12,macro,2,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Matthey, 1957; Rovatsos et al., 2017; this study",18,Calumma parsonii,Madagascar,-17.53,48.59,300,Arboreal,Oviparous,16,60,20,60
Calparcri,Calumma,calumma_parsonii_cristifer,Calumma parsonii,36,48,6,12,NA,NA,NA,meta,subtelo,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.2,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"De Smet, 1981",18,Calumma parsonii,Madagascar,-17.53,48.59,300,Arboreal,Oviparous,16,60,20,60
CGA642,Calumma,calumma_gallus3,Calumma gallus,34,46,6,11,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,17,Calumma gallus3,Madagascar,-18.86,48.66,60,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA494,Calumma,calumma_fallax2,Calumma fallax,28,42,7,7,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,14,Calumma fallax2,Madagascar,-18.15,48.6,48.8,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA495,Calumma,calumma_fallax2,Calumma fallax,28,42,7,7,NA,NA,NA,meta,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,this study,14,Calumma fallax2,Madagascar,-18.15,48.6,48.8,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA763,Calumma,calumma_gallus2,Calumma gallus,32,44,6,10,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,16,Calumma gallus2,Madagascar,-18.86,48.66,60,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
CGA764,Calumma,calumma_gallus2,Calumma gallus,32,44,6,10,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,16,Calumma gallus2,Madagascar,-18.86,48.66,60,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
Calboe,Calumma,calumma_boettgeri,Calumma boettgeri,28,40,6,8,NA,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1973; De Smet, 1981",14,Calumma boettgeri,Madagascar,-13.73,49.21,59,Arboreal&Terrestrial,Oviparous,2,5,9,9
Bratha,Bradypodion,bradypodion_thamnobates,Bradypodion thamnobates,34,46,6,11,macro,2,2,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989; Rovatsos et al., 2017",17,Bradypodion thamnobates,Afrotropic,-29.79,29.86,103,Arboreal,Viviparous,7,30,3,12
Bramel,Bradypodion,bradypodion_melanocephalum,Bradypodion melanocephalum,34,46,6,11,macro,2,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Gordon et al., 1989",17,Bradypodion melanocephalum,Afrotropic,-29.88,30.36,76,Arboreal,Viviparous,10,19,NA,NA
