haploidn,tips,sim
19,BGAA2,10
19,BGAA1,10
19,BGA584,10
19,BGA706,10
20,BGA304,10
20,BGA303,10
30,BGAB1,10
30,BGA7,10
19,PGA445,10
19,PGA363,10
13,Rhaspe,10
13,Rhamar,10
14,Rhatem,10
20,FGA379,10
20,F647,10
21,F3016,10
21,F3015,10
13,F1476,10
13,FGA81,10
13,Furcep,10
13,Furpol,10
14,F2241,10
14,F12266,10
14,Furang,10
14,Fga490,10
14,FGA456,10
21,FGA516,10
21,FGA513,10
14,F12278,10
14,F12279,10
13,Furant,10
13,FGA331,10
13,FGA332,10
13,FGA465,10
13,FGA99,10
13,F12269,10
13,FGA15,10
13,FGA440,10
13,FGA581,10
13,FGA582,10
13,FGA104,10
13,FGA105,10
16,FGA489,10
21,FGA174,10
21,FGA175,10
12,FurbGB,10
12,CGA312,10
12,CGA963,10
12,CGA642,10
12,CGA763,10
12,CGA764,10
12,C601,10
12,C602,10
12,CGA236,10
12,Calboe,10
12,C3125,10
12,CGA429,10
12,CGA430,10
12,C985,10
12,C984,10
12,CGA310,10
13,CGA314,10
13,CGA382,10
13,CGA365,10
12,CGA494,10
12,CGA495,10
12,C12265,10
12,C404,10
12,Cl11778,10
12,Cl11779,10
12,CGA594,10
12,CGA48,10
11,C3134,10
11,C3126,10
15,CGA311,10
14,CGA45,10
14,CGA46,10
13,C3043,10
13,CGA87,10
14,CGA368,10
14,CGA557,10
14,CGA364,10
14,C2208,10
9,CGA453,10
9,CGA383,10
11,CGA501,10
11,C11776,10
9,C3121,10
9,C3123,10
10,Calparcri,10
10,C3118,10
17,Triowe,10
16,Trijoh,10
10,Trimel,10
13,Trihoe,10
13,Tribit,10
13,Trijac,10
10,Tricri,10
11,Triwie,10
11,Triqua,10
11,Kinboe,10
11,Kinfis,10
12,Kinxen,10
18,Chaafr,10
18,Chacha,10
18,Chacaly,10
18,Chazey,10
18,Chadil,10
18,Chasen,10
13,Chanam,10
13,Riebrev,10
13,Braset,10
13,Bramel,10
13,Bratha,10
13,Bradra,10
13,Bratra,10
13,Bragut,10
13,Braven,10
14,Brapum,10
