haploidn,tips,sim
14,F1476,10
16,F3016,10
14,FGA379,10
16,Rhatem,10
16,Rhamar,10
15,Rhaspe,10
19,PGA445,11
17,BGAB1,11
18,BGA304,11
17,BGA584,11
17,BGAA2,11
17,BGA89,11
18,B11604,11
18,B199,11
17,B985,11
18,B11609,11
19,B11696,11
18,BGA309,11
20,BGA709,11
19,B3088,11
18,Bradam,11
18,Brapum,11
18,Braven,11
18,Bragut,11
17,Bratra,11
17,Bradra,11
18,Bratha,11
18,Bramel,11
18,Braset,11
17,Chanam,11
19,Chasen,11
18,Chadil,11
18,Chazey,11
18,Chacaly,11
19,Chacha,11
19,Chaafr,11
15,Kinxen,11
18,Kinfis,11
19,Kinboe,11
16,Triqua,11
16,Triwie,11
15,Tricri,11
18,Trijac,11
17,Tribit,11
19,Trihoe,11
19,Trimel,11
18,Trijoh,11
19,Triowe,11
19,Calparcri,11
19,C3121,11
19,CGA501,11
18,CGA453,11
18,C2208,11
20,CGA364,11
20,CGA368,11
20,C3043,11
20,CGA45,11
19,CGA311,11
19,C3134,11
16,CGA594,11
17,Cl11778,11
17,C404,11
16,C12265,11
19,CGA494,11
18,CGA382,11
18,CGA310,11
19,C985,11
18,CGA429,11
18,C3125,11
18,Calboe,11
19,CGA236,11
18,C601,11
18,CGA763,11
17,CGA642,11
18,CGA312,11
18,FurbGB,11
19,FGA174,11
17,FGA489,11
18,FGA104,11
19,FGA581,11
19,FGA15,11
19,FGA99,11
19,FGA465,11
19,FGA331,11
19,Furant,11
19,F12278,11
19,FGA516,11
19,FGA456,11
20,FGA490,11
19,Furang,11
19,F2241,11
21,Furpol,11
19,Furcep,11
19,F1476,11
19,F3016,11
19,FGA379,11
13,Rhatem,11
14,Rhamar,11
16,Rhaspe,11
18,PGA445,12
19,BGAB1,12
20,BGA304,12
19,BGA584,12
19,BGAA2,12
20,BGA89,12
19,B11604,12
18,B199,12
19,B985,12
19,B11609,12
19,B11696,12
19,BGA309,12
19,BGA709,12
19,B3088,12
15,Bradam,12
15,Brapum,12
16,Braven,12
16,Bragut,12
16,Bratra,12
16,Bradra,12
16,Bratha,12
16,Bramel,12
16,Braset,12
14,Chanam,12
15,Chasen,12
16,Chadil,12
17,Chazey,12
17,Chacaly,12
17,Chacha,12
17,Chaafr,12
17,Kinxen,12
17,Kinfis,12
17,Kinboe,12
17,Triqua,12
16,Triwie,12
15,Tricri,12
14,Trijac,12
13,Tribit,12
14,Trihoe,12
15,Trimel,12
15,Trijoh,12
15,Triowe,12
19,Calparcri,12
17,C3121,12
16,CGA501,12
17,CGA453,12
17,C2208,12
17,CGA364,12
16,CGA368,12
16,C3043,12
18,CGA45,12
18,CGA311,12
15,C3134,12
15,CGA594,12
15,Cl11778,12
15,C404,12
13,C12265,12
16,CGA494,12
12,CGA382,12
15,CGA310,12
16,C985,12
17,CGA429,12
17,C3125,12
16,Calboe,12
16,CGA236,12
16,C601,12
16,CGA763,12
15,CGA642,12
16,CGA312,12
18,FurbGB,12
18,FGA174,12
19,FGA489,12
15,FGA104,12
19,FGA581,12
19,FGA15,12
19,FGA99,12
18,FGA465,12
18,FGA331,12
19,Furant,12
18,F12278,12
18,FGA516,12
17,FGA456,12
18,FGA490,12
20,Furang,12
19,F2241,12
18,Furpol,12
16,Furcep,12
18,F1476,12
18,F3016,12
18,FGA379,12
17,Rhatem,12
17,Rhamar,12
19,Rhaspe,12
16,PGA445,13
20,BGAB1,13
19,BGA304,13
17,BGA584,13
17,BGAA2,13
