#Nodes with GAIN events with expectation above 0.5
N2: 0.708185
N3: 0.94045
PGA445: 1.46304
Furcep: 1.91211
FGA331: 1.83079
FGA104: 1.07707
FGA174: 1.89076
CGA312: 0.565505
C3125: 1.35123
C3134: 1.42916
C2208: 0.991086
Riebrev: 2.12655
Total number of gain events: 27.5264
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
PGA445: 0.583444
N13: 0.794888
N14: 0.53496
Rhaspe: 2.21721
Rhamar: 2.12581
Rhatem: 1.26016
FGA379: 1.21452
F3016: 1.06175
F1476: 0.966857
N28: 0.697362
FGA465: 0.929537
N36: 0.586867
FGA489: 1.04405
Calboe: 2.62399
CGA429: 1.70445
N46: 0.578232
C985: 2.34472
CGA382: 1.3501
N49: 1.47085
C404: 1.0803
CGA45: 1.0144
C3121: 0.950992
Chanam: 0.557513
Riebrev: 0.656976
N77: 1.4577
Total number of loss events: 42.1583
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 1.39511e-24
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.990737
N37: 0.6943
N61: 0.960606
N65: 0.969131
N67: 0.640542
Riebrev: 1.92862
N77: 0.897948
Total number of demi-dulications events: 8.88554
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N70	0.106337	0.245311	6.26064e-35	4.84134e-05	0
N71	0.130297	0.278445	1.80197e-27	0.000144389	0
N72	0.0220461	0.0411804	1.08697e-31	3.29093e-06	0
N73	0.00523625	0.00606701	8.23917e-36	7.01072e-08	0
Chaafr	0.0307271	0.0330289	0	7.8282e-08	0
Chacha	0.0307271	0.0330289	0	7.8282e-08	0
N74	0.00920534	0.0104351	1.26923e-36	6.80327e-08	0
Chacaly	0.0226044	0.0245073	0	9.42451e-08	0
Chazey	0.0226044	0.0245073	0	9.42451e-08	0
N75	0.0108038	0.0148177	2.88988e-30	1.96766e-06	0
Chadil	0.107188	0.125502	0	1.67131e-05	0
Chasen	0.107188	0.125502	0	1.67131e-05	0
Chanam	0.381293	0.557513	0	0.00153603	0
N76	0.0158118	0.00518776	6.06853e-36	0.0633459	0
Riebrev	2.12655	0.656976	0	1.92862	0
N77	0.400377	1.4577	2.65494e-31	0.897948	0
N78	0.00428583	0.0178173	3.8884e-44	0.000519898	0
N79	0.000396442	0.000919362	1.66011e-50	1.94733e-06	0
Braset	0.0281333	0.0287001	0	1.4414e-07	0
N80	0.00140132	0.00168062	3.52211e-48	1.39736e-07	0
N81	0.0117316	0.0119665	1.31177e-52	4.39876e-09	0
Bramel	0.000935328	0.000987891	0	5.0055e-12	0
Bratha	0.000935328	0.000987891	0	5.0055e-12	0
N82	0.00624102	0.0063514	5.97971e-50	4.3692e-09	0
Bradra	0.00511753	0.00529467	0	3.45362e-11	0
Bratra	0.00511753	0.00529467	0	3.45362e-11	0
N83	0.013215	0.0139851	4.10126e-51	2.08013e-06	0
Bragut	0.00566833	0.00598788	0	1.13734e-08	0
Braven	0.00566833	0.00598788	0	1.13734e-08	0
N84	0.0137643	0.0250317	6.19463e-39	0.000510965	0
Brapum	0.0163504	0.0196843	0	1.10348e-05	0
Bradam	0.0163504	0.0196843	0	1.10348e-05	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	2.13408	0.488567	1.31181e-24	0.000471947	0
BGA709	2.10538	0.459851	1.31181e-24	0.000469358	0
BGA309	2.10538	0.459851	1.31181e-24	0.000469358	0
B11696	1.96939	0.323576	1.31181e-24	0.000423	0
B11609	1.96939	0.323576	1.31181e-24	0.000423	0
B985	1.94865	0.302841	1.31181e-24	0.000423029	0
B199	1.94865	0.302841	1.31181e-24	0.000423029	0
BGA89	1.93419	0.288377	1.31181e-24	0.000422945	0
BGAA2	1.93419	0.288377	1.31181e-24	0.000422945	0
