haploidn,tips,sim
17,Rhatem,7
19,Rhaspe,7
14,BGA706,8
14,BGA584,8
15,BGAA2,8
15,BGAA1,8
15,BGA40,8
15,BGA89,8
15,B11604,8
15,BGA583,8
15,BGAA3,8
15,B199,8
15,B983,8
15,B985,8
17,BGA304,8
17,BGA303,8
16,BGAB1,8
16,BGA7,8
15,B11609,8
15,BGA392,8
15,B11697,8
15,B11696,8
17,B3088,8
13,BGA710,8
13,BGA709,8
16,BGA309,8
16,PGA445,8
16,PGA363,8
16,CGA764,8
16,CGA763,8
16,C602,8
16,C601,8
16,CGA642,8
16,CGA430,8
16,CGA429,8
16,C3125,8
16,Calboe,8
17,CGA236,8
16,CGA382,8
16,CGA365,8
16,CGA495,8
16,CGA494,8
15,CGA314,8
15,CGA310,8
16,C985,8
16,C984,8
13,CGA594,8
14,CGA48,8
15,Cl11779,8
15,Cl11778,8
14,C404,8
16,C12265,8
16,C3126,8
16,C3134,8
17,CGA963,8
17,CGA312,8
16,CGA87,8
16,C3043,8
16,CGA557,8
16,CGA368,8
16,CGA364,8
15,CGA46,8
15,CGA45,8
16,C2208,8
14,CGA311,8
14,C11776,8
14,CGA501,8
13,C3123,8
13,C3121,8
12,CGA453,8
12,CGA383,8
14,C3118,8
14,Calparcri,8
13,FGA516,8
13,FGA513,8
14,FGA456,8
13,FGA465,8
14,F12279,8
14,F12278,8
15,FGA332,8
15,FGA331,8
15,Furant,8
15,FGA582,8
15,FGA581,8
17,FGA440,8
17,FGA15,8
16,F12269,8
16,FGA99,8
16,F12266,8
16,F2241,8
16,Furang,8
15,FGA490,8
15,Furpol,8
15,Furcep,8
15,F1476,8
15,FGA81,8
17,FGA105,8
17,FGA104,8
17,FGA489,8
16,F3016,8
16,F3015,8
16,FGA175,8
16,FGA174,8
13,FurbGB,8
18,F647,8
18,FGA379,8
17,Tribit,8
16,Trihoe,8
15,Trijac,8
17,Trijoh,8
17,Trimel,8
16,Triowe,8
17,Tricri,8
16,Triwie,8
15,Triqua,8
16,Kinboe,8
15,Kinfis,8
18,Kinxen,8
16,Bratra,8
16,Bradra,8
16,Bratha,8
15,Bramel,8
15,Braset,8
16,Braven,8
16,Bragut,8
16,Brapum,8
16,Bradam,8
16,Chazey,8
16,Chacaly,8
16,Chaafr,8
17,Chacha,8
17,Chadil,8
16,Chasen,8
16,Chanam,8
21,Rhamar,8
18,Rhatem,8
19,Rhaspe,8
19,BGA706,9
19,BGA584,9
19,BGAA2,9
19,BGAA1,9
17,BGA40,9
17,BGA89,9
16,B11604,9
16,BGA583,9
16,BGAA3,9
16,B199,9
15,B983,9
15,B985,9
17,BGA304,9
17,BGA303,9
18,BGAB1,9
18,BGA7,9
16,B11609,9
16,BGA392,9
18,B11697,9
18,B11696,9
18,B3088,9
17,BGA710,9
17,BGA709,9
18,BGA309,9
19,PGA445,9
19,PGA363,9
19,CGA764,9
19,CGA763,9
20,C602,9
20,C601,9
19,CGA642,9
20,CGA430,9
20,CGA429,9
18,C3125,9
18,Calboe,9
19,CGA236,9
19,CGA382,9
19,CGA365,9
19,CGA495,9
19,CGA494,9
18,CGA314,9
18,CGA310,9
18,C985,9
18,C984,9
19,CGA594,9
19,CGA48,9
19,Cl11779,9
19,Cl11778,9
18,C404,9
18,C12265,9
19,C3126,9
19,C3134,9
18,CGA963,9
18,CGA312,9
17,CGA87,9
17,C3043,9
17,CGA557,9
17,CGA368,9
18,CGA364,9
18,CGA46,9
18,CGA45,9
18,C2208,9
17,CGA311,9
